License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
707689,JAC   ,3RD AVE DELI AND GRILL CORP      ,7702,3RD AVE                     ,BROOKLYN          ,NY,11209,40.629877,-74.028431,11209,"Bay Ridge, Fort Hamilton",Brooklyn,3RD AVE DELI AND GRILL CORP
672115,JAC   ,KAUSAR & SON INC                 ,3437,FORT HAMILTON PARKWAY       ,BROOKLYN          ,NY,11218,40.64569,-73.985488,11218,"Ditmas Park, Kensington",Brooklyn,KAUSAR & SON INC
614563,A     ,DUANE READE ETAL PTRS            ,893,MANHATTAN AVE                ,BROOKLYN          ,NY,11222,40.730078,-73.954202,11222,Greenpoint,Brooklyn,DUANE READE ETAL PTRS
712976,JAC   ,ALINA NY INC                     ,1214,AVENUE U                    ,BROOKLYN          ,NY,11229,40.62733,-73.96397,11229,"Homecrest, Kensington, Kings Highway, Madison",Brooklyn,ALINA NY INC
704162,A     ,CVS ALBANY LLC                   ,859,MANHATTAN AVE            ,BROOKLYN          ,NY,11222,40.729449,-73.953908,11222,Greenpoint,Brooklyn,CVS ALBANY LLC
671158,A     ,ABSOLUTELY YOURS INC             ,541C,MYRTLE AVE                  ,BROOKLYN          ,NY,11205,40.693809,-73.962843,11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn,ABSOLUTELY YOURS INC
705067,JAC   ,LOVE EXPRESS DELI CORP           ,214,UTICA AVE                    ,BROOKLYN          ,NY,11213,40.671477,-73.930872,11213,"Brower Park, Crown Heights, Weeksville",Brooklyn,LOVE EXPRESS DELI CORP
707143,JAC   ,PERFECT SHOPPING INC             ,3924,18TH AVE                    ,BROOKLYN          ,NY,11218,40.632903,-73.972606,11218,"Ditmas Park, Kensington",Brooklyn,PERFECT SHOPPING INC
704324,JAC   ,ESPINAL ROBERTO A                ,263,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,40.689661,-73.951426,11216,Bedford-Stuyvesant,Brooklyn,ESPINAL ROBERTO A
714783,JAC   ,JAZMINS SPANISH AMERICAN FOOD INC,1656,BATH  AVE                   ,BROOKLYN          ,NY,11214,40.605514,-74.008856,11214,Bath Beach,Brooklyn,JAZMINS SPANISH AMERICAN FOOD INC
672263,A     ,SUPER DISCOUNT INC               ,1420,KINGS HWY                   ,BROOKLYN          ,NY,11229,40.608461,-73.958971,11229,"Homecrest, Kensington, Kings Highway, Madison",Brooklyn,SUPER DISCOUNT INC
706162,A     ,FUSION PHARMACY CORP             ,2276,65TH ST                     ,BROOKLYN          ,NY,11204,40.612754,-73.979605,11204,"Bensonhurst, Parkville",Brooklyn,FUSION PHARMACY CORP
618557,JAC   ,FLATLAND DELI GROCERY CORP       ,911,E 107TH ST                   ,BROOKLYN          ,NY,11236,40.648224,-73.893048,11236,"Canarsie, Jamaica Bay",Brooklyn,FLATLAND DELI GROCERY CORP
670741,JAC   ,COHETERO ONESIMO                 ,283,IRVING AVE                   ,BROOKLYN          ,NY,11237,40.699575,-73.915356,11237,Bushwick,Brooklyn,COHETERO ONESIMO
709123,JAC   ,DOLEH 919 FOOD CORP              ,3485,NEPTUNE AVE                 ,BROOKLYN          ,NY,11224,40.577041,-74.001928,11224,"Coney Island, Sea Gate",Brooklyn,DOLEH 919 FOOD CORP
